,base_market,quote_market,hedge_ratio,half_life
94,YFI-USD,SUSHI-USD,5292.788812177866,11.0
95,YFI-USD,XLM-USD,69906.5228197434,10.0
96,RUNE-USD,BTC-USD,0.00010186305946137469,12.0
97,DOGE-USD,BTC-USD,2.2612256752394385e-06,8.0
98,COMP-USD,BTC-USD,0.0013583976043959859,2.0
99,ICP-USD,CRV-USD,19.305015239273256,17.0
100,ICP-USD,SUSHI-USD,7.7186725138679195,9.0
101,ICP-USD,UNI-USD,1.0603990431326364,3.0
102,ICP-USD,ATOM-USD,1.1093858027683288,7.0
103,ALGO-USD,CRV-USD,0.34491569263808697,7.0
104,ALGO-USD,DOT-USD,0.025690564708828977,8.0
105,ALGO-USD,1INCH-USD,0.42848842445266333,8.0
106,ALGO-USD,SUSHI-USD,0.13766123214853737,10.0
107,ALGO-USD,EOS-USD,0.23543899304229937,14.0
108,FIL-USD,BTC-USD,0.000148709396614355,3.0
109,FIL-USD,SUSHI-USD,5.366534333935596,10.0
110,FIL-USD,EOS-USD,9.176472714301404,15.0
111,MATIC-USD,BTC-USD,1.7124714027079596e-05,2.0
112,MATIC-USD,SUSHI-USD,0.6169615441985202,14.0
113,CRV-USD,DOT-USD,0.07441614215523117,5.0
114,CRV-USD,1INCH-USD,1.2411290193468558,7.0
115,CRV-USD,SUSHI-USD,0.398955742061684,7.0
116,CRV-USD,XLM-USD,5.261807125566476,15.0
117,CRV-USD,ATOM-USD,0.0572848514831307,13.0
118,NEAR-USD,BTC-USD,7.621277798278156e-05,10.0
119,DOT-USD,BTC-USD,0.0001486879816079676,1.0
120,DOT-USD,1INCH-USD,16.670841185527422,7.0
121,DOT-USD,SUSHI-USD,5.35645145552951,9.0
122,DOT-USD,EOS-USD,9.15798659420632,18.0
123,DOT-USD,ATOM-USD,0.7698081622113259,13.0
124,BTC-USD,ADA-USD,90583.50817505302,2.0
125,BTC-USD,ENJ-USD,122885.20930618637,5.0
126,BTC-USD,AVAX-USD,1511.2009617814524,2.0
127,BTC-USD,XLM-USD,474503.02069484483,1.0
128,BTC-USD,EOS-USD,61333.85540508678,3.0
129,BTC-USD,ATOM-USD,5163.68354209762,1.0
130,BTC-USD,LTC-USD,746.987828524331,2.0
131,CELO-USD,AVAX-USD,0.026853759780108982,24.0
132,1INCH-USD,SUSHI-USD,0.3212125344448329,8.0
133,1INCH-USD,EOS-USD,0.5484422269275303,21.0
134,1INCH-USD,ATOM-USD,0.04615507860987543,7.0
135,SUSHI-USD,UNI-USD,0.13721177450170768,2.0
136,SUSHI-USD,EOS-USD,1.70237081712493,16.0
137,SNX-USD,LTC-USD,0.05050849316686034,17.0
138,UNI-USD,ATOM-USD,1.0405415967158023,2.0
